范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileDescription : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileDescription.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileDescription.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileVersion : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileVersion.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,FileVersion.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductName.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductVersion : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductVersion.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,ProductVersion.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,OriginalFileName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,OriginalFileName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,OriginalFileName.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,InternalName : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,InternalName.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,InternalName.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalCopyright : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalCopyright.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalCopyright.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalTrademarks : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalTrademarks.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,LegalTrademarks.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,IsSigned : bool,100,2,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,IsSigned.get() : bool,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,IsSigned.set(bool) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CertificateInfo : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CertificateInfo.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,CertificateInfo.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,TranslationInfo : string,100,2,,0,2,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,TranslationInfo.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEAdditionalInfo,TranslationInfo.set(string) : void,100,1,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants, ,93,0,1,0,41,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DosSignature : ushort,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,NtSignature : uint,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,Pe32Magic : ushort,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,Pe32PlusMagic : ushort,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,Pe32OptionalHeaderBaseSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,Pe32PlusOptionalHeaderBaseSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,MaxDataDirectories : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DataDirectoryEntrySize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,SectionHeaderSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,ImportDescriptorSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DelayLoadDescriptorSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,ExportDirectorySize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,Cor20HeaderMinSize : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,OrdinalFlag32 : uint,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,OrdinalFlag64 : ulong,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectoryExport : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectoryImport : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectoryResource : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectorySecurity : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectoryDelayImport : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEConstants,DirectoryClrHeader : int,93,0,,0,1,1
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo, ,97,22,1,11,15,7
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,FilePath : string,100,2,,0,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,FilePath.get() : string,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,FilePath.set(string) : void,100,1,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,DosHeader : IMAGEDOSHEADER,100,2,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,DosHeader.get() : IMAGEDOSHEADER,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,DosHeader.set(IMAGEDOSHEADER) : void,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,NtHeaders : IMAGENTHEADERS,100,2,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,NtHeaders.get() : IMAGENTHEADERS,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,NtHeaders.set(IMAGENTHEADERS) : void,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,OptionalHeader : IMAGEOPTIONALHEADER,100,2,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,OptionalHeader.get() : IMAGEOPTIONALHEADER,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,OptionalHeader.set(IMAGEOPTIONALHEADER) : void,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,SectionHeaders : List<IMAGESECTIONHEADER>,100,2,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,SectionHeaders.get() : List<IMAGESECTIONHEADER>,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,SectionHeaders.set(List<IMAGESECTIONHEADER>) : void,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ImportFunctions : List<ImportFunctionInfo>,100,2,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ImportFunctions.get() : List<ImportFunctionInfo>,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ImportFunctions.set(List<ImportFunctionInfo>) : void,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ExportFunctions : List<ExportFunctionInfo>,100,2,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ExportFunctions.get() : List<ExportFunctionInfo>,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,ExportFunctions.set(List<ExportFunctionInfo>) : void,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Dependencies : List<DependencyInfo>,100,2,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Dependencies.get() : List<DependencyInfo>,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Dependencies.set(List<DependencyInfo>) : void,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Icons : List<IconInfo>,100,2,,2,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Icons.get() : List<IconInfo>,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,Icons.set(List<IconInfo>) : void,100,1,,2,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,CLRInfo : CLRInfo?,100,2,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,CLRInfo.get() : CLRInfo?,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,CLRInfo.set(CLRInfo?) : void,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,AdditionalInfo : PEAdditionalInfo,100,2,,1,1,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,AdditionalInfo.get() : PEAdditionalInfo,100,1,,1,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,PEInfo,AdditionalInfo.set(PEAdditionalInfo) : void,100,1,,1,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO, ,100,1,1,2,18,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwSignature : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwStrucVersion : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileVersionMS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileVersionLS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwProductVersionMS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwProductVersionLS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileFlagsMask : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileFlags : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileOS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileType : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileSubtype : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileDateMS : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,VSFIXEDFILEINFO,dwFileDateLS : uint,100,0,,0,1,0
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,WINCERTIFICATE, ,100,1,1,2,9,2
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,WINCERTIFICATE,dwLength : uint,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,WINCERTIFICATE,wRevision : ushort,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Models,WINCERTIFICATE,wCertificateType : ushort,100,0,,0,1,0
命名空间,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers, , ,68,54,1,8,434,72
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities, ,68,54,1,8,431,72
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,ReadNullTerminatedString(BinaryReader) : string,62,5,,3,33,9
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,GetMachineTypeDescription(ushort) : string,82,1,,0,38,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,GetSubsystemDescription(ushort) : string,84,1,,0,22,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetLinkerVersionDescription(byte, byte) : string",69,6,,0,25,4
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetCompilerVersionDescription(byte, byte, bool) : string",64,7,,0,24,6
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetOperatingSystemVersionDescription(ushort, ushort) : string",84,1,,0,39,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetSubsystemVersionDescription(ushort, ushort) : string",84,1,,0,39,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetImageVersionDescription(ushort, ushort) : string",96,1,,0,6,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,Is64Bit(IMAGEOPTIONALHEADER) : bool,92,1,,2,5,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,Is32Bit(IMAGEOPTIONALHEADER) : bool,92,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,GetFileType(ushort) : string,73,4,,0,16,4
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetDetailedFileType(ushort, ushort) : string",69,4,,0,26,4
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"GetDriverType(ushort, ushort, ushort) : string",68,3,,0,26,6
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"RvaToOffset(uint, List<IMAGESECTIONHEADER>) : long",56,12,,2,48,13
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"ReadUnicodeStringWithMaxLength(BinaryReader, int) : string",56,4,,4,49,16
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Parsers,Utilities,"ReadUnicodeStringWithMaxBytes(BinaryReader, int) : string",78,2,,1,12,3
命名空间,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources, , ,50,334,1,49,3929,745
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserCertificate, ,49,11,1,11,88,19
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserCertificate,"ParseCertificateInfo(FileStream, BinaryReader, PEInfo) : void",49,11,,11,81,19
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIcon, ,51,33,1,19,261,69
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIcon,"ParseIconInfo(FileStream, BinaryReader, PEInfo) : void",58,6,,14,46,11
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIcon,"ParseDotNetIcons(FileStream, BinaryReader, PEInfo) : void",68,3,,8,30,6
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIcon,"ParseDotNetResourcesForIcons(FileStream, BinaryReader, PEInfo) : void",61,5,,14,39,9
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIcon,"ParseResourceDirectoryForIcons(FileStream, BinaryReader, PEInfo, long) : void",39,19,,12,136,43
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconData, ,50,27,1,8,195,58
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconData,"ProcessIconData(PEInfo, byte[]) : void",54,9,,7,55,14
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconData,"ConvertDibToIco(PEInfo, byte[]) : void",45,7,,8,87,32
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconData,IsIconData(byte[]) : bool,57,11,,1,44,12
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconDirect, ,50,18,1,14,155,38
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconDirect,"ParseDirectIconResource(FileStream, BinaryReader, PEInfo, long, long) : void",48,8,,9,82,22
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconDirect,"ParseDirectIconDataEntry(FileStream, BinaryReader, PEInfo, long) : void",52,10,,12,65,16
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconGroup, ,46,46,1,23,288,95
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconGroup,"ParseGroupIconResource(FileStream, BinaryReader, PEInfo, long, long) : void",48,8,,9,82,22
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconGroup,"ParseGroupIconDataEntry(FileStream, BinaryReader, PEInfo, long, long) : void",49,15,,12,83,18
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconGroup,"TryReadIconDirEntries(FileStream, BinaryReader, ushort, ICONDIRENTRY[]) : bool",59,5,,6,32,10
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconGroup,"ProcessGroupIconEntries(FileStream, BinaryReader, PEInfo, ICONDIRENTRY[], long) : void",38,18,,11,81,45
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers, ,48,38,1,13,376,115
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers,"FindSpecificIconData(FileStream, BinaryReader, PEInfo, long, long, uint) : long",46,7,,5,89,28
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers,"FindIconDataInLanguageDirectory(FileStream, BinaryReader, PEInfo, long, long) : long",49,7,,5,74,22
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers,"GetIconDataFromEntry(FileStream, BinaryReader, PEInfo, long) : long",53,8,,7,56,16
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers,"FindIconDataByResourceId(FileStream, BinaryReader, PEInfo, uint, long) : long",45,10,,11,93,30
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconHelpers,"ReadResourceName(FileStream, BinaryReader, long) : string",53,6,,3,53,19
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconNamed, ,48,36,1,16,256,65
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconNamed,"ParseResourceDirectoryForNamedIcons(FileStream, BinaryReader, PEInfo, long) : void",50,8,,9,73,19
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconNamed,"ParseNamedResourceDirectory(FileStream, BinaryReader, PEInfo, long, long, uint) : void",43,18,,11,109,30
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserIconNamed,"ParseNamedResourceDataEntry(FileStream, BinaryReader, PEInfo, long) : void",52,10,,12,65,16
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersion, ,50,30,1,17,283,71
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersion,"ParseVersionInfo(FileStream, BinaryReader, PEInfo) : void",58,5,,13,49,11
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersion,"ParseResourceDirectoryForVersionInfo(FileStream, BinaryReader, PEInfo, long) : void",49,8,,9,76,21
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersion,"ParseVersionResource(FileStream, BinaryReader, PEInfo, long, long) : void",48,8,,9,82,22
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersion,"ParseVersionDataEntry(FileStream, BinaryReader, PEInfo, long) : void",51,9,,12,66,17
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionHelpers, ,44,18,1,13,194,58
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionHelpers,"ParseVersionInfoStructure(FileStream, BinaryReader, PEInfo) : void",41,10,,11,120,36
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionHelpers,"ParseVersionChildren(FileStream, BinaryReader, PEInfo, long) : void",49,8,,12,66,22
类型,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionLanguage, ,72,9,1,6,1312,16
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionLanguage,englishLanguageNames : string[],71,0,,0,234,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionLanguage,simplifiedChineseLanguageNames : string[],71,0,,0,234,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionLanguage,traditionalChineseLanguageNames : string[],71,0,,0,234,1
成员,PersonalTools (Release),PersonalTools.PEAnalyzer.Resources,PEResourceParserVersionLanguage,englishCodePageNames : string[],75,0,,0,73,1
